employee_id,first_name,last_name,date_of_birth,gender,email,phone_number,department,position,hire_date,salary,performance_rating,address,emergency_contact,skills,education
EMP004,Quincy,Thompson,1992-10-05,Male,quincy.thompson@company.com,+1-555-456-7890,Finance,Financial Analyst,2018-03-19,72000.0,4.3,"234 Pine St, Commerce City, USA 45678",Isabella Thompson (Sister) +1-555-654-3210,"Financial Modeling, Excel, Data Analysis, Budgeting","Bachelor of Science in Finance, CFA Level 1"
EMP005,Sophie,Lindgren,1995-09-14,Female,sophie.lindgren@company.com,+1-555-567-8901,Marketing,Content Strategist,2020-06-15,67000.0,4.5,"123 Maple St, Marketingville, USA 98765",Oskar Lindgren (Brother) +1-555-321-0987,"Content Creation, SEO, Social Media Strategy, Copywriting","Bachelor of Arts in Journalism, Content Marketing Certification"
EMP006,Percival,Underwood,1986-11-22,Male,percival.underwood@company.com,+1-555-678-9012,Research & Development,Senior Researcher,2011-05-16,95000.0,4.7,"321 Oak St, Innovate City, USA 12345",Charlotte Underwood (Spouse) +1-555-876-5432,"Research Methodology, Data Analysis, Project Management, Machine Learning","Ph.D. in Computer Science, Master of Science in Artificial Intelligence"
EMP007,Maximus,Valentine,1990-12-01,Male,maximus.valentine@company.com,+1-555-789-0123,Human Resources,HR Manager,2016-07-22,84000.0,4.6,"789 Birch St, HR Town, USA 65432",Julia Valentine (Wife) +1-555-234-5678,"Employee Relations, Performance Management, Recruitment, Training & Development","Bachelor of Arts in Human Resources Management, SHRM-CP"
EMP008,Zephyr,Montague,1992-04-18,Non-binary,zephyr.montague@company.com,+1-555-890-1234,Information Technology,Cybersecurity Analyst,2018-03-12,88000.0,4.3,"456 Spruce St, Cyber City, USA 67890",River Montague (Sibling) +1-555-432-1098,"Network Security, Risk Assessment, Cryptography, Incident Response","Bachelor of Science in Information Security, Certified Information Systems Security Professional (CISSP)"
EMP009,Quintus,Hobbleton,1985-07-14,Male,quintus.hobbleton@company.com,+1-555-901-2345,Marketing,Marketing Director,2013-10-01,102000.0,4.8,"876 Elm St, Marketingville, USA 89012",Lydia Hobbleton (Wife) +1-555-345-6789,"Brand Management, Market Research, Digital Advertising, Customer Insights","Master of Business Administration (MBA), Bachelor of Arts in Marketing"
EMP010,Octavia,Mercer,1988-10-29,Female,octavia.mercer@company.com,+1-555-678-3456,Research and Development,Lead Research Scientist,2015-09-05,95000.0,4.4,"1010 Innovation Dr, Research City, USA 12345",Felix Mercer (Brother) +1-555-567-1234,"Data Analysis, Experimental Design, Product Development, Technical Writing","Doctor of Philosophy in Biochemistry, Bachelor of Science in Molecular Biology"
EMP011,Aurelius,Winterbourne,1990-11-05,Male,aurelius.winterbourne@company.com,+1-555-123-4567,Human Resources,HR Manager,2016-06-15,78000.0,4.1,"789 Maple St, HR Town, USA 56789",Cassia Winterbourne (Sister) +1-555-765-4321,"Conflict Resolution, Recruiting, Employee Relations, Training and Development","Bachelor of Arts in Human Resource Management, Professional in Human Resources (PHR)"
EMP012,Zephyra,Nightshade,1992-08-19,Female,zephyra.nightshade@company.com,+1-555-234-5678,Information Technology,Software Engineer,2018-03-22,87000.0,4.5,"345 Tech Road, Silicon City, USA 67890",Orion Nightshade (Brother) +1-555-876-5432,"Java, Python, Software Development, Database Management","Bachelor of Science in Computer Science, Certified Java Developer"
EMP013,Endymion,Thalassa,1985-04-12,Male,endymion.thalassa@company.com,+1-555-789-0123,Marketing,Marketing Director,2012-11-01,102000.0,4.7,"1111 Market Pl, Commerce City, USA 11223",Lyra Thalassa (Wife) +1-555-654-3210,"Brand Management, Digital Marketing, Market Research, Strategic Planning","Master of Business Administration in Marketing, Bachelor of Arts in Communication Studies"
